구매id,리뷰날짜,구매옵션,리뷰내용,리뷰점수,수량,리뷰내용_length
wns1****,2026-05-17 07:59:38.975000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"아내가 아파서 집에서 사용중입니다
새 모델이라 그런지
시에서 대여한것보다 편하다고 하네요",5,1,49
lofi*****,2026-05-19 03:26:37.668000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,아버지 병원 다니실 때 사용하려고 대여했었어요. 한 번 밖에 못 썼지만 요긴했습니다. 원하는 시간에 직접 찾으러 가고 반납하는게 편했어요.,5,1,77
hi****,2026-05-09 11:16:33.218000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,튼튼하고 사용하기 좋네요.. 판매자분이 친절하시고 설명도 잘해주세요 감사합니다,5,1,43
wns1****,2026-04-24 01:39:50.536000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"갑작스럽게 휠체어가 필요했는데
픽업도 가능해서 좋아요~",5,1,30
jsi2***,2026-04-09 00:10:32.957000+00:00,제품선택: 알루미늄 휠체어대여/어린이/작은(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"급하게 필요했는데 삘리 준비해주시고 큰 도움이
되었습니다!",5,1,32
zeni***,2026-03-19 13:54:52.266000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"집이 근처에 있어서 정말 편하게 대여했습니다.

휠체어도 거의 새것같았고 제품이 좋아요 

특히 브레이크기능 편리했습니다 

가성비가 너무 좋아요",5,1,81
sewo****,2026-03-22 12:30:25.266000+00:00,제품선택: 알루미늄 휠체어대여/어린이/작은(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"아주 무겁지 않아서 여자 혼자 트렁크
싣기 가능합니다. 
상태 좋아요",5,1,38
yare*****,2026-03-21 01:24:48.012000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,아이가 다쳐서 급하게 알아봤는데 빠르게 대여하고 가격과 훨체어 상태가 너무 괜찮았습니다,5,1,48
skym******,2026-03-12 04:36:38.826000+00:00,제품선택: 고급 알루미늄 휠체어대여 / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,"연휴라 급할때 필요했는데 친절하게 응대해주시고 물건도 빨리 준비해주셔서 잘 쓰고 반납하려 합니다.
감사합니다.",5,1,61
k2yb***,2026-03-13 01:36:23.554000+00:00,제품선택: 고급 알루미늄 휠체어대여/컴팩트형(택배불가) / 수령방식선택: 내찾내반(비대면직접수령/용인세브란스병원 인근) / 기간선택: 1개월,비대면이라 안심하고 가져오고 깨꿋하게 관리 된거 같아요,5,1,30
