연도,수집구간,제목,내용,날짜,링크
2021,2021.01.01. ~ 2021.12.31.,질문방역패스질문,엄마가 장애2급받고 집에서만 생활합니다. 백신한번도 맞질안았습니다. 지금 다리에 화상비스무리한게있는데 백신안맞으면 병원도못가나여? 휠체어타고댕깁니다.,작성일2021.12.23,https://kin.naver.com/qna/detail.naver?d1id=1&dirId=10904&docId=407917270&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문어이없어요...ㅜ,저는 18살이고 지적3급에 다리가에도 마비장애가있어서 휠체어를 타고다니는데 제가 사는곳이 아파트거든요 근데 폰으로 제가 머좀 확인하려고 엘리베이터앞에 제가 휠체어에 앉은채로 뭐 보고있었는데 유치원생정도되는 어린아이가 엄마손잡고 엘리베이터에서 나오더니 제 휠체어를 발로 두번차고 갔어요..그아이 엄마는 그모습을보고도 아이를 혼내지도않았구요..어떻게생각하세요?,작성일2021.12.22,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=61303&docId=407868274&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문요양병원 시설과 회진에 민원이 생겼습니다,병원에 입원한 1년이 넘엇는대 행정 직원가 마찰이 생겨 적어봅니다 요양 병원이라 인지력이 떨어 지는 환자가 많고 당뇨병 환자 도 많습니다 혈액 검사를 하고 당이 저혈당 이면 전병원이나 주위환자들 모두가 병원에서 알사탕 커피를 상비해서 당이 오르게 하고 갑니다 근대 이곳은 저혈이 왓는대 피검사 후에 뭐드새요 하고갑니다 이런일들 때문에 민원을 고객의 소리라는 고객 홈페이지에 올렷습니다 저말고 주치의 회진을 돌지않아서 마찰이 많앗고 저역시 1 년 동 안 화장실가다 마주친거 빼고 다섯번이 전부입니다 주치의 이름도 모르는 분이 태반이고 병돔이 1병동 2병동 3병동 4병동 5병동 이렇게 잇는대 1층 5층에는 간호실이나 병동 없이 환자만 잇어서 휠체어 환자 노약자 인지 없는 치매환자가 많앗서 시트와 환복을 가져다 달라고 하니 그건 간호사가 할일이 아니라고 집적 옷가지로 오고 시트를 갈라고 말해서 1층에 간호사 실을 만들어달고 하고 주치의 회진좀 하게 해달 라고 민원을 넣엇 습니다 병원 홈폐이지에 그글 쓰고 2시간 되니 비밀글로 막 고 비밀번호를 바꿔서 수정도 못하게 했습니다 행정부원장과 좋게 대화들 하고 나오는대 행정쪽 직원들이 몸을 잡고 저 뇌병변 장애고 보행 불가 판정도 나왓던적이 잇는대 거기서 다툰게 아니고 좋게 나왓는대 시정하겟다 그러더니 나오니간 팔을 두르고 끌고가는대 나이도 어린대 반말을 이병원에서 민원중에 반말을 두번째 들으니 화가 놔 서 행정부원장시로 가는걸 막아서 오른쪽 다리에 장애가 잇 는대 미니가 몸이 밀리고 난가려 하니 팔을 치운다고 빼다 팔이 얼굴에 밀려 상처가 낳앗는대 다시 대화 하고 나오니 재몸에 손도 않되더군요 이일잇고 다음날 경비인 고실장 이라는 사람이 담배 피고 잇 는대 아픈 발을 툭툭 차길래 아프니간 그만 하라고 했습니다 근대 그래도쳐디보면서 차서 다시가서 얘기를 햇는대 사과 도받고 시정하겟다 더니 오늘 되니간 부르더군요 국만건강심사원에서 공문이 1년에 한번씩오는대 퇴원을 해야된다 해서 심사원에 전화를 햇더니 저이는 환자 입퇴원 에 관여를 안한다 하고 1년에 한번 보내는건 환자 몸상태가 어떤지 묻는 형식이랍니다 그렇게 당하고도 욕한마디 않하고 지낫는대 이걸 작정 하고 그러니 글을 남깁니다 발로 찬건 경찰에 접수 했고요 나머지 병원 민원인 1~5병동 인대 1층 5층 에 간호사실이 없는거 이거와 1년간 주치의 회진으로 의사 간호사 비 180만원 냅니다 호진을 6번 어떤 환자는 누군지도 모르고 이두가지 로 민원을 넣으려는대 어느곳에 민원을 넣어야 하는지. 그리고 어떤 말들을 조리 잇게 해야되는지 답글 보내 주셧으 면 합니다,작성일2021.12.10,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=406977733&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문보장구 지원에 관하여,9월에 뇌경색으로 쓰러지신후 언어와 오른쪽 손. 다리 마비 대소변도 기저귀. 식사도 혼자 안되시네요.. 현재 보훈병원에서 재활을 받고 있는데 재활할때나 퇴원후 지속적으로 수동 휠체어가 필요할듯하여 휠체어 구매를 할려는데 지원 혜택을 받을려면 어떻게 해야 할까요..,작성일2021.12.08,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70120&docId=406764414&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문리클라이닝(침대)형휠체어,보장구처방전을받았는데요.. 어머니가 중증장애를받으셨다고 침대형 휠체어를 처방해주셨어요.. 그냥 일반 휠체어로구입해도 되나요? 리클라이닝 휠체어는 아직은 필요할거같지않아서요,작성일2021.12.07,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=406711688&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애인이나 몸이 불편한 분들을 아이에게 뭐라고 설명해주면 좋을까요?,"호기심이 너무너무 많은 5살 아이를 키우고 있습니다 길을 걸어다니면서 이것저것 정말 많은것을 물어보면 그럴때마다 모두 대답해주고 있는데요 가장 곤란한것이 사람에 대한 질문입니다 특히 장애인분들을 마주칠때마다 아이가 상대방이 다 들릴 정도로 큰 소리로 물어보는 경우가 많은데요 애는 아무 편견 없이 그냥 왜 저분들은 그런건지가 궁금해서 그런거지만 막상 그 질문을 듣는 당사자는 불쾌할수도 있다는 생각이 들때가 많아요 그래서 저도 당황스러운 나머지 그냥 아무 대답도 안하고 얼버무리고 자리를 피하는 경우가 많은데요 그냥 다쳐서 그렇다 라고 대답하기엔 혹시 선천적인 장애일지도 모르는데 실례인것같구요 한번 다쳐서 그런거라고 대답해준적이 있는데 ""저아저씨는 왜 그렇게 위험한 행동을 했어?"" 라고 물어보는데 정말 두배로 당황스러웠습니다 ㅠㅠ 다른사람의 외모를 그렇게 큰소리로 다 들리게 말해선 안된다고 몇번을 가르치지만 아직 어려서 그런지 뭐는 해도 되고 안되고에 대한 이해가 떨어져서 큰 소용이 없는것 같습니다 뭔가 그자리에서 대답을 해줘도 아이도 이해가 가고 듣는분들도 기분나쁘지 않을만한 동화같은(?) 대답이 없을까요? 휠체어를 타신 분들이랑 눈이 안보이는 분들을 특히 뭐라 말해야 할지 모르겠고 동네에 저랑 자주 인사하는 등이 굽은 할아버지가 한분 계신데 혹시 아이랑 같이 마주치면 그분께 이상한 소리를 할까봐 조마조마합니다 좋은 방법이 없을지 궁금합니다. 저에게 가르침을 부탁드립니다",작성일2021.12.06,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8010502&docId=406639129&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애인 보장구 휠체어,이번에 뇌병변 심한장애판정 받으셨어요.. 거동을못하셔서 휠체어를 장만 해야하는데 보장구 처방전있어야한다고.들었어요..어디서받나요? 휠체어는 어느회사가 좋은가요? 처방전 없이 미리구입가능한가요? 장기요양도 받고 있는데 여기 센터 통해서 구입하는게 좋은지요?,작성일2021.12.05,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=406543334&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애인 주차 표지,장애인 주차장에 주차할 수 있는 표지?그런 걸 가지고 있는데 보호자용이거든요 근데 제가 친구랑 어디를 갈려하는데 일반 주차장에 휠체어 타고 내리기가 힘들어서 현재 가지고 있는 보호자용꺼를 친구 차에 부착시킬려하는데 그래도 상관 없나요? 차 넘버가 다르긴한데 어쨌든 장애인이 안에 탑승하고 있으니 상관 없는 거 아닌가요? 복지카드도 있습니다,작성일2021.12.04,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=406510478&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문기동성 장애,간호 진단 중 휠체어 기동성장애랑 신체 기동성 장애 뜻이 궁금해요,작성일2021.12.03,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=406394768&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애등급 신청 궁금합니다,저희 어머니 올해 74세입니다.9년전 낙상으로 인해 척추뼈 하나가 골절 되었습니다. 병원에서 고정술 하려고 하였으나 골다공증이 너무심해 고정술 불가하다 해서 골시멘트 시술로 대체하였습니다.(의사분 말씀이 뼈가 버글버글 하다는 표현을 하였습니다..) 그 뒤로 일상생활 하는도중에 부상이 없으셨는데도 연쇄적으로 금이가서 지금은 척추뼈 2개 빼고 전부 골시멘트 한 상태입니다. 잘 서지도 못하고 거동 10 미터 내외 하시는 상태입니다. 병원 갈때는 휠체어 이용합니다. 식사는 혼자차려드시지 못하며 누가 차려줘야 드시는 상태인데 이런경우 장애등급 받을 수 있는지 궁금합니다..,작성일2021.12.01,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=406251073&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문제가 너무 신경 쓰이는 게 하나 있어서요....,"이건 조금 참견이라 여겨질 수도 있는 건데, 저는 현재 고 2에 다니고 ""지원반""학생이에요.....근데 저희 지원반에 장애가 누가 봐도(!) 뚜렷이 보이는 여자얘(휠체어를 타고 다니고 인지 능력이 조금(!)) 부족해 보이며 감정 표현이 (별로) 없다.) 가 있는데...혹시, 생각해서 (또래 친구들에게) 말 거는 게 어렵다면, 원반에서 공부하는 내용도 잘 이해 못 할 가능성이 있나요?? 그럴 만한(신경 쓰일 만한) 사소한(!) 일도 있었고, 제가 걔가 생각해서 말하는 게 어려워서 다른 얘들한테 말 별로 안 거는 거라는 사정을 알고 나서 걔한테 신경이 많~이 쓰이기 시작했거든요....그럴 수도, 있을까요??",작성일2021.11.27,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70109&docId=406010833&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문척추측만증 수술비용 문의,"동생이 하반신마비로 오랫동안 휠체어생활을 하고있어요ㅜ 허리가 50도 이상으로 많이 휘어져있어서 이제라도 수술을 하려하는데 수술비용은 어느정도 나오는지 궁금합니다,,, 또 건강보험 적용이 되는지도 알려주세요 ㅠㅠ 일반보험은 장애인이여서 적용이 안되는거같더라구오ㅠㅜ 참,, 하루하루 생활하기에만 급급해 동생한테 신경을 많이못써줘서 마음이 아프네요 ㅜ 정보좀 알려주세여ㅠㅠㅠ",작성일2021.11.27,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=405966489&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,루게릭 병 진단을 받았습니다. 몸과 마음이 정말 힘든데 한방치료로 어떻게 치료를 할 수 있을지요.(부천시청역 50대/남 루게릭병),50대 가장입니다. 얼마전에 중풍을 앓고 나서 중풍후유증으로 알고 집에서 와상안정을 하고 있다가 증상이 너무 안좋아서 다시 종합병원에 가니 중풍후유증이아니라 루게릭병으로 진단을 받았습니다. 주의사항도 듣고 약도 받아오고 했는데. 나아지는 것이 없고 답답한 마음만 듭니다. 약먹으니 목도마르고 소화도 좀 안되고요. 한방치료로 어떻게 치료받을수 있을까요? 집에 계단이 있어서 움직이기가 힘든데 휠체어나 목발도 사용이 어렵습니다. 혹시 왕진 같은 방문진료를 신청할수 있을까요?,작성일2021.11.26,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70308&docId=405933742&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문국민연금 장애연금...,국민연금 장애연금 엄마 연세는 72세입니다 엄마가 치매 1급 판정받으셨고(5년전) 5년전 넘어지셔서 무릎 수슐을 하셨어요 병원에선 뼈가ㅜ너무 약하고 아예 안걸으시는게 더 좋을꺼라고 말씀하셨구요.. 체구도 너무 마르고 작으셔서 마취 시간도 길게 잡지 못해 철근으로 묶어뒀다고 하셨어요 그해 치매도 오시고 급격히 나빠지셔서 거동 자체를 못하시고 휠체어 생활 하고 계세요 물론 기저귀 차시고 ㅈ금은 콧줄까지 하고 계세요 아빠가 돌아가시전 국민연금은 계속 내셨고 아빠가 돌아거시고난후 제 밑으로 해서 직장에서 국민 연금 다 냈어요~ 혹시 엄마가 장애연금 받을수 있을까요?!,작성일2021.11.20,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=405474305&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문교정직 공무원은 부상시 당연퇴직입니까?,교정직 공무원은 장애인 전형? 으로 들어가는게 없는걸로 알고 있습니다 환경이 환경이니 이해는 합니다 그런데 만약 들어가서 부상을 입거나 (꼭 그 부상이 일을 하며 생긴게 아니라 할지라도) 하는 등의 문제로 직무를 수행하기 어렵거나(휠체어를 타는등) 아예 할수가 없다면 (큰 수술) 이 2가지의 경우 교정직 공무원은 당연퇴직 되는겁니까? 아니면 다른 곳으로 옮겨서 다른 업무를 하는겁니까? 이도 아니라면 어떻게 되는지 가르쳐 주시면 감사하겠습니다,작성일2021.11.17,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40601&docId=405242382&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문시위하시는 장애인분들에게 핫팩,독서실 오면서 횡단보도에서 장애인 시설 문제?에 대한 시위를 하시는 휠체어 타신 두 분을 봤어요 펫말 들고 계시던데 이 날씨에 추우실 거 같아서 핫팩 사드리고 싶은데 무슨 말을 하면서 드려야지 실례가 안 될까요…?,작성일2021.11.12,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=110210&docId=404874087&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,"3개월 전부터 좌우측 종아리 근육경련으로 인한 심한통증을 호소하고 있습니다. (경기도 남양주 80대후반/여 종아리근육경련, 통증)","안녕하세요.88세 어머니이고 4년전 뇌경색으로 좌측편마비며 휠체어를 탑니다. 3개월 전부터 좌우측 종아리 근육경련으로 인한 심한통증을 호소하고 있습니다. 하루에 한번이상 근육경련이 일어나고 있으며 짧으면 3~4십분, 길면 2~3시간 근육경련이 반복되고 있습니다. 집근처 병원 재활의학과와 신경과에서 약처방을 받고 복용하고 있으나 효과가 좋진않습니다. 지인분 소개로 상담을 신청합니다.",작성일2021.11.08,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70118&docId=404590907&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문뇌경색 경과과정,"뇌경색 진행과정 어머니가 뇌경색 발병 일주일째 입니다. 일주일전 월요일오전 약간의 보행장애,오른쪽 팔힘 빠짐 증상이 나타났으며 당일 밤11시경 택시타고 이동 후 대학병원 응급실 도착 했습니다. 대학병원 특성상 바로 검진 들어가지 못하고 2시간 정도대기후 CT와MRI촬영 후 뇌경색진단 받았습니다. 이후 집중치료실에서 3일정도 치료후 일반병실로이동 한다고 하였으나 무슨까닭인지 반나절만인화요일오후에 일반병실로 이동하였습니다. 응급실도착 할 때와 일반실 올라갈 때의 몸상태는 보행에 어려움 없었고 팔다리를 사용 하는데 전혀 문제 없어 보였습니다. 의사가 악력 테스트 할 때 움켜쥐는 힘이 전혀 어려움 없었습니다. 그렇게 일반실로 이동 후 발병3일째인 수요일부터 오른쪽 팔과 다리 마비와 언어장애가 진행되어 오른쪽 손으로 식사 불가능과 보행불가능으로 화장실 혼자 못가는 상태로 진행되었습니다. 결국 금요일오후 MRI촬영다시 하였고 결과는 3일 지난 오늘 월요일 아침에 들었습니다. 결과는더 진행되지는 않았다고 합니다. 질문입니다. 첫 째 발병 첫 날 거동과 언어에 어려움 없었는데 병원에와서 치료중 악화가 될 수 있습니까? 둘 째 집중 치료실에 3일간 치료가 필요하다고 한 이후 반나절만에 일반실로 옮긴 이유는 무엇일까요? 초기치료가 잘 되었는지 궁금합니다. 셋 째 일주일이 지난후 급성기치료는 다 끝나서 더 이상 치료 할게 없다고 하는데 퇴원 해서 바로 재활병원가서 재활 치료 들어가야 할 까요? 뇌경색이라지만 병원에 걸어들어가서 나올 때 휠체어타야하는 상황이 되어난감 합니다. 재활 치료후 혼자 보행 하는게 가능 할 까요. 가능하다면 그 기간은 얼마나 걸리겠습니까? 좋은 답변 부탁 드립니다.",작성일2021.11.08,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70107&docId=404576892&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문전동휠체어  구매,"전동휠체어를 구매하려고하는데 고민이되네요 국내꺼는 너무비싸고 해외꺼는(중국산)꺼는 불안하고, a/s도않되고 추천좀해주세요 A/s되는곳으로요 제가몸이불편한데정부지원은 않된다네요 장애가다른곳이라서요ㅜㅜ 접이식 이고요 경량 이었음 하는데요 차에실고 다닐수 있는거로요 부탁드립니다",작성일2021.11.08,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50802&docId=404571340&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문군대 면제 상근,제가 장애인 2급 하체마비 아버지계시고 차상위계층입니다 생계곤란 면제 신청해서 할아버지가 재산이 좀있으셔서 부결되었습니다 어머니는 이혼해서 따로사시고 면제신청을하게되어2년전 현역상근 영장이 날라왔었는데 이번년 12월 20일에 육군훈련소 영장이날라왔습니다 아버지 혼자서는 휠체어타시고 도저히 생활이안되시고 할머니 할아버지 께서도 80이넘어가시고 거동도 불편하셔서 이번에 상근신청을 했습니다 상근이라도 갈생각중입니다 상근자격이되는지 여쭤봅니다 감사합니다,작성일2021.11.05,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=404388763&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문보청기 국산  이런거 차이가 잇나요 수입,시그니아 동네 잇는데 국산보다 좋은건지요 그리고 독일건데 국산도 좋잖아요 더 비싼가요 궁금하구 수급자 장애인 이런 사람은 국가 보조 받나요 휄체어 처럼요알고 싶네요 2: 휠체어도 전동 휠체어는 국가 보조 안해주죠 몇백 그대로 내야 하죠 ?,작성일2021.11.04,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60101&docId=404283839&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문기초생활수급자 요양병원,할머님이 90세 다리골절상태 삼촌분과 두분이사시는대요 수급자이십니다. 삼촌은 오래전부터 휠체어생활 장애등급 있구 병원장기입원중입니다. 현재 할머님 임대주택 거주중이신대 최근 다리골절로 병원입원중 간병인쓰시고 수술하셔야하는대 심초음파검사 심근쪽 위험하여 다리수술불가판정 받은상태입니다. 수술안하시면 이제못걸으시니 병원쪽생활하여 간병인도움 받으셔야해서 요양병원 알아보고있는중입니다. 뼈가 연세가90이셔서 붙을지안붙을지모르는상황이라 집에 모시면 혼자움직이시려다 또다치실가 걱정이라. 질문드립니다. 임대주택 삼촌 장기입원중. 할머님 요양병원 입원시. 다리가 나아질지 모르는상황이지만 상태호전시 집으로오면 요양보호사케어 받으시고 재가요양쪽 생각중입니다 이런상황인대 만약 장기요양하게될경우 임대주택 계약해지되나요? 2년마다 연장계약하시는대 거주중인두분이다 장기요양하게될경우. 할머님은다시 집으로 모시게될경우 어떻게되는지. 어디에문의해야하는지 아시면 답변부탁드립니다,작성일2021.11.04,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100101&docId=404269093&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문충남 장애학생과 함께 갈수있는 여행지추천좀요..,뇌병변학생입니다. 수술받기전에 2박3일정도로 엄마하고 둘이 여행을다녀오고싶어서요.휠체어로 이동이가능하고 깨끗한숙박시설과 맛집 역사공부도할수있으면 너무너무좋을거같아요.저는 중1입니다,작성일2021.11.01,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=1215&docId=404051953&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문심한 디스크의 장애판정,안녕하세요~ 저희엄마가 71세인데 15년전부터 디스크수술2회 시술1회 유명한방병원 한달입원치료를 하셨으나 아직도 통증으로 뼈주사?라는걸 주기적으로 맞으시네요ㅜ 척추뼈 3개가 망가져 있다하시고 육안으로 울퉁불퉁 보일정도인데 장애판정을 받을 수 있을까요? 걷는게 불편하셔서 밖에 다닐때 휠체어처럼 생긴 전동기계를 타고 다니세요. 받는다면 몇급정도 가능할까요? 답변해주시면 감사하겠습니다~,작성일2021.10.30,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70107&docId=403933914&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문장애인스포츠지도사 2급,휠체어 타는 장애인도 장애인 스포츠지도사 2급 자격증 취득할 수 있나요?종목은 조정이요.,작성일2021.10.30,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=403901055&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문휠체어 타는 장애인입니다....,휠체어 타는 장애인입니다. 장애인 운동선수로 먹고살기 힝든가요?,작성일2021.10.28,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100102&docId=403771229&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
2021,2021.01.01. ~ 2021.12.31.,질문스타렉스휠체어슬로프장착된 중고차,제가 지체장애1급이데요 스타렉스휠체어슬르프장착된중고차를 구입하고싶은데요 구입방법을 장기리스낮렌트로 하고 싶은데 이런조건을아시는분 글좀 올려주시면 고맙겠읍니다,작성일2021.10.28,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8110104&docId=403759265&qb=7Zyg7LK07Ja0IOyepeyVoA==&enc=utf8
