,title,contents,date
0,부산대 댄스운동 | 관절 부담 없이 체력·정렬·순환을 동시에 개선하는중장년 여성 맞춤 기능성 댄스 운동 프로그램,"#금정구댄스운동 #부산대댄스운동 #다이어트댄스 #에어로빅댄스#중장년댄스운동 #5060댄스운동 #금정구평생학습 #도쌤댄스운동​유산소 댄스를 통해 코어 · 정렬 · 순환을 함께 배우는 ""줌인필로빅""은 건강한 평생학습 운동 프로그램입니다.중장년 이후의 몸은 더 많이 움직인다고 좋아지지 않습니다.어떻게 움직이느냐가 더 중요해지는 시기입니다.이 시기에는관절의 충격 흡수 능력이 떨어지고균형과 정렬이 쉽게 무너지며호흡이 얕아져 움직임 후 피로가 오래 남습니다.그런데 많은 운동은 여전히  한 가지 방식(춤·근력·유산소 중 하나)에만 치우쳐 몸의 전체 연결을 고려하지 않습니다.그 결과 “운동은 했는데 몸은 더 불편해지는” 상황이 생깁니다.​​이 프로그램은 댄스의 구조, 기능성 움직임, 기초 체력 운동, 호흡과 정렬 개념을 필요에 따라 결합한 복합적인 움직임 프로그램입니다.리듬이 필요할 때는 댄스 동작을 사용하고안정이 필요할 때는 기능적 움직임을 사용하며체력이 필요한 구간에서는 간단한 유산소 자극을 더합니다.즉,형식은 춤처럼 보일 수 있지만내용은 신체 기능 회복에 맞춰 조절되는 운동입니다.이 프로그램은 안무를 외우는 데 목적이 있지 않습니다.몸이 무거운 날은 동작을 줄이고균형이 흔들리면 정렬 중심으로 조절하며호흡이 흐트러지면 리듬보다 안정에 집중합니다.이것이 ""댄스""만 하는 수업과 가장 큰 차이입니다.사람은 대부분의 일상을 서서 이동하고, 서서 버티고, 서서 방향을 바꿉니다.이 운동은 바닥 동작보다 실제 생활에서 필요한서 있는 균형방향 전환체중 이동호흡과 움직임의 연결을 중심으로 설계되었습니다.그래서 운동을 마친 뒤“힘들었다”보다“몸이 정리된 느낌”이 남도록 합니다.이 프로그램의 목적은춤을 잘 추게 만드는 것도,특정 기술을 익히게 하는 것도 아닙니다.✔️ 서 있는 자세가 안정되고✔️ 움직임이 부드러워지며✔️ 호흡이 자연스럽게 이어지고✔️ 일상 동작의 부담이 줄어드는 것즉,운동 시간을 위한 몸이 아니라일상을 버틸 수 있는 몸을 만드는 것입니다.유산소댄스(에어로빅댄스)다이어트댄스 · 줌바댄스 · 라인댄스 · 추억의방송댄스파워댄스 · 근력댄스코어 강화 · 신체정렬 · 바른자세 · 스트레칭월·수 / 금 저녁 7시 ~ 60분+ 개강일: 2026년 3월 16일강의명: 기초체력 향상을 위한 댄스운동강의소개: 유산소댄스로 배우는 코어, 정렬, 순환이 프로그램은 라인댄스를 포함한 다양한 리듬 움직임과 기능성 운동을 결합하여서서 하는 일상 동작에 필요한 정렬, 균형, 체력을 관절 부담 없이 회복하도록 설계된 중장년 맞춤 복합 댄스 운동 프로그램입니다.​본 수업은✔ 금정구 평생학습 프로그램으로✔ 운동 경험과 상관없이 누구나 참여하실 수 있습니다.010-4566-7177​건강은 배워서 평생 쓰는 자산입니다.즐겁게 움직이며, 꾸준히 배우는 부산대 댄스운동 평생학습에 함께하세요.​#부산대라인댄스#부산대댄스운동#금정구평생학습",2026. 2. 10. 2:31
1,셔플댄스 기본스텝,"셔플댄스 기본스텝 완전정복 🎶 초보자도 2주면 가능~요즘 4050·5060 세대까지 빠져든 운동 겸 취미, 셔플댄스(Shuffle Dance)~처음 보면 발이 너무 빨라 보여 어렵게 느껴지지만, 사실은 기본 3가지 스텝만 익히면 누구나 출 수 있습니다.​1️⃣ 러닝맨 (Running Man)셔플댄스의 핵심이자 가장 중요한 기본 스텝입니다.✔ 동작 방법한 발을 앞으로 디디며 반대 발은 뒤로 뺍니다.동시에 앞발은 뒤로, 뒷발은 앞으로 교체합니다.제자리에서 달리는 느낌으로 반복합니다.✔ 연습 팁무릎을 살짝 굽혀야 부드럽습니다.상체는 세우고, 발바닥 앞꿈치에 힘을 주세요.처음엔 천천히 → 점점 속도 올리기👉 이 동작만 자연스러워도 셔플의 70%는 완성!​2️⃣ 티스텝 (T-Step)옆으로 이동할 때 사용하는 스텝입니다.✔ 동작 방법한 발을 축으로 두고 좌우로 톡톡 튕기듯 움직입니다.반대 발은 옆으로 밀어내듯 이동합니다.좌우 반복하며 이동합니다.✔ 연습 팁발을 끌지 말고 가볍게 터치리듬에 맞춰 “툭툭툭” 느낌👉 러닝맨 + 티스텝 연결하면 한 곡 완성 가능!​3️⃣ 점핑 힐 (Jumping Heel)리듬감을 살려주는 포인트 동작입니다.✔ 동작 방법가볍게 점프하면서 한쪽 발 뒤꿈치를 들어줍니다.좌우 번갈아 반복합니다.✔ 연습 팁너무 높이 뛰지 마세요.무릎 충격 방지를 위해 쿠션 좋은 운동화 필수👉 음악 분위기를 살릴 때 사용하면 멋이 확 살아납니다.​🎵 초보자 5분 루틴✔ 1분 런닝맨✔ 1분 티스텝✔ 1분 런닝맨 + 티스텝 연결✔ 1분 점핑 힐 추가✔ 1분 음악에 맞춰 자유 연결2주만 꾸준히 하면 몸이 자동으로 반응합니다.​♡ 셔플댄스 운동 효과유산소 + 하체 근력 강화균형감각 향상스트레스 해소치매 예방 운동으로도 인기특히 5060 세대가 열광하는 이유는관절에 큰 부담 없이 땀이 확 나는 운동이기 때문입니다.♡  마무리셔플댄스는 절대 어려운 춤이 아닙니다.기본 스텝 3가지만 정확히 연습하세요.✔ 런닝맨✔ 티스텝✔ 점핑 힐처음엔 어색하지만, 어느 순간 음악이 나오면 발이 먼저 움직입니다",2026. 2. 23. 12:42
2,시니어셔플댄스 5060 꼭맞는 취미,,2026. 2. 23. 19:44
3,"5060이 가장 많이 찾는 우아한 운동, 왈츠 Waltz",,2026. 1. 31. 19:35
4,셔플댄스 왕초보 체험수업,"셔플댄스 처음이신 분들을 위한왕초보 체험 수업 열어요 😊​🍀몸치도 가능🍀 기초 스텝부터 천천히🍀 운동 + 스트레스 해소​📍 장소 : 서면역부근 ⏰ 시간 : 3월 12일 11시체험비 2만원편한 복장, 운동화 준비해주세요 👟처음이라 망설이셨다면이번에 가볍게 한번 같이 해봐요 💃참여 원하시면 연락주세요!",2026. 3. 6. 11:15
5,"셔플 댄스 열풍 공개, 50대 60대가 열광한 이유",라인댄스 대신 셔플 댄스 선택하는 이유1990년대 추억 자극하는 리듬​신체 건강과 정신 건강에 미치는 효과​중장년층 취미 트렌드 변화의 신호​,2026. 2. 12. 5:44
6,💃[앵콜마스터 라인댄스]무릎 걱정 없이 라인댄스가 갱년기 우울증과 뱃살을 잡는 3가지 비결(기초스텝 1편),,2025. 12. 3. 16:21
7,부산대 댄스운동 | 관절 부담 없이 체력·정렬·순환을 동시에 개선하는중장년 여성 맞춤 기능성 댄스 운동 프로그램,"#금정구댄스운동 #부산대댄스운동 #다이어트댄스 #에어로빅댄스#중장년댄스운동 #5060댄스운동 #금정구평생학습 #도쌤댄스운동​유산소 댄스를 통해 코어 · 정렬 · 순환을 함께 배우는 ""줌인필로빅""은 건강한 평생학습 운동 프로그램입니다.중장년 이후의 몸은 더 많이 움직인다고 좋아지지 않습니다.어떻게 움직이느냐가 더 중요해지는 시기입니다.이 시기에는관절의 충격 흡수 능력이 떨어지고균형과 정렬이 쉽게 무너지며호흡이 얕아져 움직임 후 피로가 오래 남습니다.그런데 많은 운동은 여전히  한 가지 방식(춤·근력·유산소 중 하나)에만 치우쳐 몸의 전체 연결을 고려하지 않습니다.그 결과 “운동은 했는데 몸은 더 불편해지는” 상황이 생깁니다.​​이 프로그램은 댄스의 구조, 기능성 움직임, 기초 체력 운동, 호흡과 정렬 개념을 필요에 따라 결합한 복합적인 움직임 프로그램입니다.리듬이 필요할 때는 댄스 동작을 사용하고안정이 필요할 때는 기능적 움직임을 사용하며체력이 필요한 구간에서는 간단한 유산소 자극을 더합니다.즉,형식은 춤처럼 보일 수 있지만내용은 신체 기능 회복에 맞춰 조절되는 운동입니다.이 프로그램은 안무를 외우는 데 목적이 있지 않습니다.몸이 무거운 날은 동작을 줄이고균형이 흔들리면 정렬 중심으로 조절하며호흡이 흐트러지면 리듬보다 안정에 집중합니다.이것이 ""댄스""만 하는 수업과 가장 큰 차이입니다.사람은 대부분의 일상을 서서 이동하고, 서서 버티고, 서서 방향을 바꿉니다.이 운동은 바닥 동작보다 실제 생활에서 필요한서 있는 균형방향 전환체중 이동호흡과 움직임의 연결을 중심으로 설계되었습니다.그래서 운동을 마친 뒤“힘들었다”보다“몸이 정리된 느낌”이 남도록 합니다.이 프로그램의 목적은춤을 잘 추게 만드는 것도,특정 기술을 익히게 하는 것도 아닙니다.✔️ 서 있는 자세가 안정되고✔️ 움직임이 부드러워지며✔️ 호흡이 자연스럽게 이어지고✔️ 일상 동작의 부담이 줄어드는 것즉,운동 시간을 위한 몸이 아니라일상을 버틸 수 있는 몸을 만드는 것입니다.유산소댄스(에어로빅댄스)다이어트댄스 · 줌바댄스 · 라인댄스 · 추억의방송댄스파워댄스 · 근력댄스코어 강화 · 신체정렬 · 바른자세 · 스트레칭월·수 / 금 저녁 7시 ~ 60분+ 개강일: 2026년 3월 16일강의명: 기초체력 향상을 위한 댄스운동강의소개: 유산소댄스로 배우는 코어, 정렬, 순환이 프로그램은 라인댄스를 포함한 다양한 리듬 움직임과 기능성 운동을 결합하여서서 하는 일상 동작에 필요한 정렬, 균형, 체력을 관절 부담 없이 회복하도록 설계된 중장년 맞춤 복합 댄스 운동 프로그램입니다.​본 수업은✔ 금정구 평생학습 프로그램으로✔ 운동 경험과 상관없이 누구나 참여하실 수 있습니다.010-4566-7177​건강은 배워서 평생 쓰는 자산입니다.즐겁게 움직이며, 꾸준히 배우는 부산대 댄스운동 평생학습에 함께하세요.​#부산대라인댄스#부산대댄스운동#금정구평생학습",2026. 2. 10. 2:31
8,셔플댄스 기본스텝,"셔플댄스 기본스텝 완전정복 🎶 초보자도 2주면 가능~요즘 4050·5060 세대까지 빠져든 운동 겸 취미, 셔플댄스(Shuffle Dance)~처음 보면 발이 너무 빨라 보여 어렵게 느껴지지만, 사실은 기본 3가지 스텝만 익히면 누구나 출 수 있습니다.​1️⃣ 러닝맨 (Running Man)셔플댄스의 핵심이자 가장 중요한 기본 스텝입니다.✔ 동작 방법한 발을 앞으로 디디며 반대 발은 뒤로 뺍니다.동시에 앞발은 뒤로, 뒷발은 앞으로 교체합니다.제자리에서 달리는 느낌으로 반복합니다.✔ 연습 팁무릎을 살짝 굽혀야 부드럽습니다.상체는 세우고, 발바닥 앞꿈치에 힘을 주세요.처음엔 천천히 → 점점 속도 올리기👉 이 동작만 자연스러워도 셔플의 70%는 완성!​2️⃣ 티스텝 (T-Step)옆으로 이동할 때 사용하는 스텝입니다.✔ 동작 방법한 발을 축으로 두고 좌우로 톡톡 튕기듯 움직입니다.반대 발은 옆으로 밀어내듯 이동합니다.좌우 반복하며 이동합니다.✔ 연습 팁발을 끌지 말고 가볍게 터치리듬에 맞춰 “툭툭툭” 느낌👉 러닝맨 + 티스텝 연결하면 한 곡 완성 가능!​3️⃣ 점핑 힐 (Jumping Heel)리듬감을 살려주는 포인트 동작입니다.✔ 동작 방법가볍게 점프하면서 한쪽 발 뒤꿈치를 들어줍니다.좌우 번갈아 반복합니다.✔ 연습 팁너무 높이 뛰지 마세요.무릎 충격 방지를 위해 쿠션 좋은 운동화 필수👉 음악 분위기를 살릴 때 사용하면 멋이 확 살아납니다.​🎵 초보자 5분 루틴✔ 1분 런닝맨✔ 1분 티스텝✔ 1분 런닝맨 + 티스텝 연결✔ 1분 점핑 힐 추가✔ 1분 음악에 맞춰 자유 연결2주만 꾸준히 하면 몸이 자동으로 반응합니다.​♡ 셔플댄스 운동 효과유산소 + 하체 근력 강화균형감각 향상스트레스 해소치매 예방 운동으로도 인기특히 5060 세대가 열광하는 이유는관절에 큰 부담 없이 땀이 확 나는 운동이기 때문입니다.♡  마무리셔플댄스는 절대 어려운 춤이 아닙니다.기본 스텝 3가지만 정확히 연습하세요.✔ 런닝맨✔ 티스텝✔ 점핑 힐처음엔 어색하지만, 어느 순간 음악이 나오면 발이 먼저 움직입니다",2026. 2. 23. 12:42
9,시니어셔플댄스 5060 꼭맞는 취미,,2026. 2. 23. 19:44
